Acc. No.,Title of the Book,SubTitle,Author,Subject,Edition/Year,Ref,Pages,Call no.,Medium,Level,ISBN No.,Publisher's Name,Publisher's address,Purchase Details,Price,Remarks
29,AL-QUR'AN,THE MIRACLE OF MIRACLES,AHMED DEEDAT,Arabic,,Ref,72(Icon),210,English,General,,PEACE ORANISING COMMITTEE,"NEW NO.49, VEERABADRAN STREET, OFF. JOSIER STREET, NUNGAMBAKKAM, CHENNAI",-NA-,,
30,ARABS AND ISRAEL : CONFLICT OR CONCILIATION?,,AHMED DEEDAT,Islamic Studies,,Ref,62(Icon),210,English,General,,ISLAMIC BOOK SERVICE,"2241, KUCHA CHELAN, DARYA GANJ, NEW DELHI - 110002 (INDIA)",-NA-,,
31,50000 ERRORS IN THE BIBLE,,AHMED DEEDAT,Islamic Studies,,Ref,8(Icon),210,English,General,9798174355187,ADAM PUBLISHERS & DISTRIBUTORS,"1542, PATAUDI HOUSE, DARYA GANJ, NEW DELHI - 2 (INDIA)",-NA-,10,
32,SLY FOX AND RED HEN -LEVEL 2,READ IT YOURSELF WITH LADYBIRD,PETER STEVENSON,English,MMVIe/MCMXCVIII,,24,823,English,PRIMARY,9781846460753,"LADYBIRD BOOKS LTD.,","A PENGUIN COMPANY, PENGUIN BOOKS LTD., 80 STRAND, LONDON WC2R 0RL, UK",-NA-,UK£ 2.50,
33,ANNALARUM ARIVAIALUM (TAMIL),,MANAVAI MUSTAFA,Islamic Studies,1ed-1992,,viii+120,210,Tamil,General,,MEERAA PUBLICATION,"AE-103, ANNANAGAR, MADRAS - 600040",-NA-,15,
34,PROPHET MUHAMMAD AND HIS MISSION,,S. ATHAR HUSAIN,Islamic Studies,2e/1978,,xii+214,210,English,General,,ACADEMY O FISLAMIC RESEARCH AND PUBLICATIONS,"P.O.BOX 119, NADWATUL-ULUMA, LUCKNOW, (INDIA)",-NA-,30,
35,SEEKING FORGIVENESS,,SHAYKH AL-ISLAM / TAQIUDDIN AHMAD 'ABDUL-HALIM / IBN TAYMIYYAH,Arabic,2001,,56,243.dc,English / Arabic,General,9789960717814,"DARUSSALAM , A MULTILINGUAL INTL. PUBLISHING HOUSE","P.O. BOX 22743, RIYADH 11416, SAUDI ARABIA",-NA-,SR7.00,Saudia Riyal
36,THE ETIQUETTE OF SEEKING KNOWLEDGE,,SHAYKH BAKR ABOO ZAYD,Islamic Studies,2000,,97(Icon),210,English / Arabic,General,9781898649410,ALHIDAAYAH PUBLISHING AND DISTRIBUTION,"P.O. BOX 3332, BIRMINGHAM, UK, B10 0UH",-NA-,125,
37,KEY TO WREN & MARTIN'S HIGH SCHOOL ENGLISH GRAMMAR AND COMPOSITION,,EXPERIENCED TEACHERS,English,2004,,190,425,English,Higher,9788121904001,"S.CHAND & COMPANY LTD.,","RAM NAGAR, NEW DELHI - 110055",-NA-,40,
38,JESUS A PROPHET OF ISLAM,,MUHAMMAD ATAUR-RAHIM,Arabic,1994,,286,,,,8171511538,"NUSRAT ALI NASRI FOR KITAB BHAVAN, 1784, KALAN MAHAL, DARYAGANJ, NEW DELHI - 110002 (INDIA)",,-NA-,,
39,CHINTHANAITH TOONDIYA SHIVAJI(TAMIL),,S.V. RAMANI,Tamil,"1e-1985, 2e-1986",,64(Icon),4T8.6'001,Tamil,General,,SENTOORAN PATHIPAGAM,"86, ARYA GOUDAR ROAD, KODAMBAKKAM, CHENNAI - 24",-NA-,8,
40,PRAYER ACCORDING TO THE SUNNAH,,Prof. MUHAMMAD ZULFIQAR // ARWA BINT DR. MUHAMMAD JIBALY,Islamic Studies,2006,Ref,532(Icon),243 dc,English / Arabic,General,9789960970684,DARUSSALAM,GLOBAL LEADER IN ISLAMIC BOOKS,-NA-,$25,
41,A TANGLED WEB,,ALAN MALEY,English / Fiction,2004,,96(Icon),823,English,General,9780521746304,"CAMBRIDGE UNIVERSITY PRESS INDIA PVT. LTD.,","CAMBRIDGE HOUSE, 4381/4, ANSARI ROAD, DARYAGANJ, NEW DELHI-110002",-NA-,115,
42,THE REWARDS FOR GOOD DEEDS,,SHAYKH SHARAF AD-DIN ' ABDUL MU'MIN AD-DIMYATI RAHIMAHULLAH (d.705 A.H) // MOHAMED MAHOMEDY,Islamic Studies,2007,Ref,660(Icon)+4,243 dc,English / Arabic,General,9789699145049,ZAM ZAM PUBLISHERS,KARACHI-PAKISTAN,-NA-,SR 45.00,Saudia Riyal
43,USOOL AL-HADEETH - THE METHODOLOGY OF HADITH EVALUATION,,DR. ABU AMEENAH BILAL PHILIPS,Islamic Studies,2007,Ref,246(Icon),237.7 dc,English / Arabic,General,9789960987149,INTERNATIONAL ISLAMIC PUBLISHING HOUSE,"(IIPH), P.O. BOX 55195, RIYADH 11534, SAUDI ARABIA",-NA-,$13.63,
44,ROMANS : Voume 2 : The Freedom Letter,VOLUME 2 / THE FREEDOM LETTER,ALAN F. JOHNSON,General / Bible,1985,,141(Icon),227'.107,English,General,802420796,"MOODY PRESS, THE MOODY BIBLE INSTITUTE, CHICAGO",CHICAGO,-NA-,30,
45,MAROOF & MUNKAR,,SYED JALALUDDIN ANSAR,Islamic Studies,4e/1996,,x+300,210,English / Arabic,General,,HINDUSTAN PUBLICATIONS,"2035, MUMTAZ BUILDING QASIMJAN STREET, BALLIMARAN, DELHI - 110006 (INDIA)",-NA-,50,
46,IS MUHAMMAD (pbuh) - THE FOUNDER OF ISLAAM,,KHALIFA ABDUL AZEEM,Islamic Studies,2009,,135(Icon),210,English,General,,HIRA INSTITUTE OF ENGLISH,"OLD NO.74, NEW NO. 84, MOOR STREET, MANNADY, CHENNAI - 600 001.",-NA-,100,
47,MUQALLIDIN : AIMAH KE ADALAT MEIN,,WAHEED PUBLICATIONS,Urdu/ Islamic Studies,1998,,223(Icon),210,Urdu,General,,WAHEED PUBLICATIONS,"JAMIA NAGAR, NEW DELHI - 25",-NA-,55,
48,DON'T BE SAD,,AAIDH IBN ABDULLAH AL-QARNI // FAISAL IBN MUHAMMAD SHAFEEQ (TRANSLATOR),Islamic Studies,2005,Ref,476(Icon)+4,213 dc,English / Arabic,General,9789960850368,INTERNATIONAL ISLAMIC PUBLISHING HOUSE,"P.O. BOX 55195, RIYADH 11534, SAUDI ARABIA",-NA-,830,
49,THE REALITY OF SUFISM,IN LIGHT OF THE QUR'AAN AND SUNNAH,SHAYKH MUHAMMAD IBN RABEE' IBN HAADEE AL-MADKHALEE,Arabic,,Ref,44,,,,,,,-NA-,24,
50,EXPLANATION OF AAYAT ALKURSI,,SHAIKH MUHAMMAD IBNU SAALIH AL UTHAIMEEN,Arabic,2005,,184,,,,,"DARUL HUDA, (QUALITY ISLAMIC BOOK PUBLISHERS) 211/102, LINGHI STREET, I FLOOR, MANNADY, CHENNAI - 600001. INDIA",,-NA-,60,
51,FORBIDDEN BUSINESS TRANSACTIONS,,SHAIKH SAALIH BIN FAWZAAN AL-FAWZAAN,Islamic Studies,2009,,28,210,English / Arabic,General,,"CENTRE FOR ISLAMIC STUDIES, BANGALORE","#1/5, MASJID-E-MUNAWWARA COMPLEX, NORTH ROAD, COOKE TOWN, BANGALORE - 560084",-NA-,,
52,LOVE YOUR GOD,,KHURRAM MURAD,Islamic Studies,1982,,36(Icon),297 BP161.2,English,General,9780860371083,THE ISLAMIC FOUNDATION,"MARKFIELD CONFERENCE CENTRE, RATBY LANE, MARKFIELD LEICESTERSHIRE LE67 9SY",-NA-,,
53,UNCLE RIFAT'S GARDEN : COUNT ALLAH'S MANY BLESSINGS,,LUQMAN NAGY // ABDUL MALIK MUJAHID,Islamic Studies,2009,,ii+36+2,213 dc,English,General,9786035000444,DARUSSALAM,"P.O. BOX: 22743, RIYADH 11416 K.S.A",-NA-,,
54,UNDERSTAND QUR'AN-THE EASY WAY,WORK BOOK AND VERB SHEETS,DR. ABDULAZEEZ ABDULRAHEEM,Arabic,2e/2005,Ref,210,210,English / Arabic,General,,GUIDANCE INTERNATIONAL PUBLISHERS,"455, PURANI HAVELI, HYDERABAD- 500002, INDIA",-NA-,100,
55,ISLAMIC STUDIES (BOOK 2) INTERMIDIATE LEVEL (GRADE EIGHT),BOOK:2,DR. ABU AMEENAH BILAL PHILIPS,Islamic Studies,1996,Ref,194(Icon),210,English / Arabic,General,1898649189,AL-HIDAAYAH PUBLISHING AND DISTRIBUTION,"P.O. BOX 3332, BIRMINGHAM, UK, B109AW",-NA-,470,
56,INTERMEDIATE ENGLISH GRAMMAR,REFERENCE AND PRACTICE FOR SOUTH ASIAN STUDENTS WITH ANSWERS,RAYMOND MURPHY,English,2e/1994,,350,,,,8185618518,"FOUNDATION BOOKS, 4764/2A, 23 ANSARI ROAD, DARYAGANJ, NEW DELHI - 110002",,-NA-,95,
57,SARAL KAHANIYAN 2 (HINDI),,DHAKSHIN BHARATH HINDI PRACHAR SABA,Hindi,2002,,iv+80,4H8.6,Hindi,General,,DAKSHINA BHARAT HINDI PRACHAR SABHA,,-NA-,12,
58,DUA AE RAHMATH (TAMIL),,M.I.NOOH,Islamic Studies,,Ref,viii+148,210,Arabic / Tamil,General,,MOHAMMED ISMAIL NOOH,"2/126, MOOR STREET, P.B.NO.1385, CHENNAI-1",-NA-,3.5,
59,HAJJ MABRUR,A FAULTLESS HAJJ THAT IS FREE OF SIN AND IS GRACED WITH DIVINE ACCEPTANCE,NASIR MISFIR AL-ZAHRANI,Islamic Studies,2e/2006,Ref,127,252.5dc,English,General,9960568008,AL HOMAIDHI PRINTING PRESS,SA,-NA-,,
60,FORTIFICATION OF THE MUSLIM THROUGH REMEMBERANCE AND SUPPLICATION FROM THE QUR'AAN AND SUNNAH,,SA'ID IBN 'ALI IBN WAHF AL-QAHTANI,Islamic Studies,2005,Ref,151(Icon),210,English / Arabic,General,,"DARUL HUDA, (QUALITY ISLAMIC BOOK PUBLISHERS)","211/102, LINGHI STREET, I FLOOR, MANNADY, CHENNAI - 600001. INDIA",-NA-,45,
61,WHAT IS HIS NAME?,,AHMED DEEDAT,Islamic Studies,2006,Ref,48(Icon),210,English / Arabic,General,9798174355071,ADAM PUBLISHERS & DISTRIBUTORS,"1542, PATAUDI HOUSE, DARYA GANJ, NEW DELHI - 2 (INDIA)",-NA-,20,
62,HEALING WITH THE MEDICINE OF THE PROPHET,,IMAM IBN QAYYIM AL-JAUZIYAH // JALAL ABUAL RUB (formerly Raymond J. Manderola),Islamic Studies,0.00E+00,Ref,359(Icon),214.61 dc,English / Arabic,General,9960892913,DARUSSALAM,GLOBAL LEADER IN ISLAMIC BOOKS,-NA-,515,
63,TALES RETOLD FOR EASY READING : TALES OF BIRBAL,FIRST SERIES,MINAL SARAN / GEORGE F. WEAR,English / Fiction,"1995, 1999, 2005",,vi+72,823,English,General,9780195602012,OXFORD UNIVERSITY PRESS,"YMCA LIBRARY BUILDING, JAI SINGH ROAD, NEW DELHI - 110001",-NA-,30,
64,JUST ONE MESSAGE,SEEKING THE TRUTH SERIES - 3,DR. NAJI I. AL-ARFAJ,Arabic,2e/2002,Ref,32,240dc,,,9960934500,K.R.NATIONAL LIBRARY CATALOGING-IN-PUBLICATION DATA,,-NA-,,
65,THE FUNDAMENTALS OF ISLAM,FOLLOWD BY : THE FOUR RULES AND THE CONVICTION OF AS-SALAF AS-SALIH OR THE PIOUS PREDECESSORS,MUHAMMAD BIN ABDUL WAHAB,Arabic,2002,Ref,78,,,,,"MINISTRY OF ISLAMIC AFFAIRS, ENDOWMENTS, DA'WAH AND GUIDANCE, PRINTED AND TRANSLATION AGENCY, RIYADH KINGDOM OF SAUDI ARABIA",,-NA-,,
66,THE TRUE RELIGION OF GOD,,DR. ABU AMEENAH BILAL PHILIPS,Islamic Studies,2003,Ref,34(Icon),210,English,General,9788172314781,ISLAMIC BOOK SERVICE,"2241, KUCHA CHELAN, DARYA GANJ, NEW DELHI - 110002 (INDIA)",-NA-,,
67,CONCEPT OF GOD IN MAJOR RELIGIONS,,DR. ZAKIR NAIK,Islamic Studies,,Ref,63(Icon),210,English,General,8188455229,M.ELAHI FOR ISLAMIC KITAB GHAR,"1181, GALI MOLSIRI WALI, PUNJABI PHATAK, BALLIMARAN, DELHI - 110006 INDIA",-NA-,20,
68,"ATLAS ON THE PROPHET'S BIOGRAPHY - PLACES, NATIONS, LANDMARKS",A Unique Publication for the First Time,Dr. SHAWQI ABU KHALIL,Islamic Studies,2003,Ref,292(Icon),239dc,English / Arabic,General,9960897710,DARUSSALAM,GLOBAL LEADER IN ISLAMIC BOOKS,-NA-,565,
69,ISLAMIC CODE OF PRACTIVE FOR THE MEDICAL PROFESSION,,SYED IQBAL ZAHEER,Arabic,2003,Ref,41,,,,,"IQRA WELFARE TRUST (PUBLICATION DIVISION) #332, IST FLOOR, DARUS SALAM BIG. QUEEN'S ROAD, BANGALORE - 560052",,-NA-,,
70,THE QUR'AN & MODERN SCIENCE,COMPATIBLE OR INCOMPATIBLE?,DR. ZAKIR NAIK,Islamic Studies,2005,Ref,68,210,English / Arabic,General,8188455202,"M.ELAHI FOR ISLAMIC KITAB GHAR,","1181, GALI MOLSIRI WALI, PUNJABI PHATAK, BALLIMARAN, DELHI - 110006 INDIA",-NA-,25,
71,#190 MOTOCROSS MADNESS - WHO WILL BE LEFT IN THE DUST?,THE HARDY BOYS,FRANKLIN W. DIXON,English / Fiction,2005,,vi+154,823,English,General,9780689873652,ALADDIN PAPERBACKS,"AN IMPRINT OF SIMON & SCHUSTER CHILDREN'S PUBLISHING DIVISION, 1230, AVENUE OF THE AMERICAS, NEW YORK, NY 10020",-NA-,150,
72,THREE ESSAYS ON TAWHID,SOURCEWORKS OF ISLAMIC THOUGHT,MUHAMMAD IBN 'ABD AL WAHHAB,Arabic,1999,Ref,40,240dc,,,9960783502,KING FAHD NATIONAL LIBRARY CATALOGING-IN-PAUBLICAITON DATA,,-NA-,,
73,MAJMOO ATHUL AHATEEZ (TAMIL),,ABU YUSUF,Islamic Studies,3e/1986,Ref,62,210,Tamil,General,,"SALAMAD PRINTERS,","95, LINGICHETTI STREET, 2ND FLOOR, CHENNAI - 600001",-NA-,4.5,
74,MUKKIYAP PADALKALIN VIRIVURAI (TAMIL),TAMIL - 232,THE CO-OPERATIVE OFFICE FOR CALL & FOREIGNERS GUIDANCE AT SULTANAH,Islamic Studies,2001,,72(Icon),210,Tamil,General,,THE CO-OPERATIVE OFFICE FOR CALL & FOREIGNERS GUIDANCE AT SULTANAH,"P.O.BOX 92675 RIYADH 11663 - AL-SWAIDI STR, K.S.A.",-NA-,,
75,MUKKIYAP PADALKALIN VIRIVURAI (TAMIL),TAMIL - 232,THE CO-OPERATIVE OFFICE FOR CALL & FOREIGNERS GUIDANCE AT SULTANAH,Islamic Studies,2001,,72(Icon),210,Tamil,General,,THE CO-OPERATIVE OFFICE FOR CALL & FOREIGNERS GUIDANCE AT SULTANAH,"P.O.BOX 92675 RIYADH 11663 - AL-SWAIDI STR, K.S.A.",-NA-,,
76,MISWAQIN SIRAPPU (TAMIL),,MAULLANA ALHABIL ATHAR HUSSAIN MALAHIR,Islamic Studies,2e/1983,Ref,54,210,Tamil,General,,"MAULANA PRINTERS,","37, ANNAVASAL SAENIOR STREET, MANNARKUDI, TNJ DIST.,",-NA-,3,
77,MUKKIYAP PADALKALIN VIRIVURAI (TAMIL),TAMIL - 232,THE CO-OPERATIVE OFFICE FOR CALL & FOREIGNERS GUIDANCE AT SULTANAH,Islamic Studies,2001,,72(Icon),210,Tamil,General,,THE CO-OPERATIVE OFFICE FOR CALL & FOREIGNERS GUIDANCE AT SULTANAH,"P.O.BOX 92675 RIYADH 11663 - AL-SWAIDI STR, K.S.A.",-NA-,,
78,MUKKIYAP PADALKALIN VIRIVURAI (TAMIL),TAMIL - 232,THE CO-OPERATIVE OFFICE FOR CALL & FOREIGNERS GUIDANCE AT SULTANAH,Islamic Studies,2001,,72(Icon),210,Tamil,General,,THE CO-OPERATIVE OFFICE FOR CALL & FOREIGNERS GUIDANCE AT SULTANAH,"P.O.BOX 92675 RIYADH 11663 - AL-SWAIDI STR, K.S.A.",-NA-,,
79,72 KOOTHANGAL EPPADI URUVAKERARKAL (TAMIL),,IMAM MOHAMMED NASIRUDEEN / ALI IBNU ABDULLAH,Islamic Studies,2012,Ref,72,210,Tamil,General,,"OLIVE BOOK YOUR BOOKS,","41, ASHAR KHANA STREET, ALANDUR, CHENNAI - 16",-NA-,25,
80,RAMALAN BRUSH (TAMIL),,ALI IBNU ABDULLAH,Islamic Studies,1ed-2011,Ref,216(Icon),210,Arabic / Tamil,General,,AL-MUHAAJIR ACADEMY,"32/40, JEELANI SAHIB STREET, ASHARKHANA, ALANDUR, CHENNAI - 600016",-NA-,65,
81,OUR STAND,THE FOUNDER OF AHMADIYYA MOVEMENT IN ISLAM IS A HUMBLE SERVANT OF HAZRAT KHATAMUL ANBIYA,,Arabic,1975,Ref,26,,,,,NAZIR DAWAT-O-TABLIGH QADIAN (INDIA),,-NA-,,
82,AYNTHAE NALIL ARABI (TAMIL),,M.M. ABDULKADIR UMARI,Arabic,2002,Ref,112(Icon),210,Arabic / Tamil,General,,FURQAN PUBLICATIONS TRUST,"II FLOOR, 5, SOWRASTRA NAGAR, 5TH STREET, CHOOLAIMEDU, CHENNAI - 600094.",-NA-,15.5,
83,SECOND PRIMER OF ISLAM,IBADAH,MOHAMMAD YOUSUF SIDDIQUI,Arabic,4e/1985,Ref,16,,,,,"MARKAZI MAKTABA ISLAMI PUBLISHERS, 1353, CHITLI QABR, DELHI - 6",,-NA-,2,
84,MUKKIYAP PADALKALIN VIRIVURAI (TAMIL),TAMIL - 232,THE CO-OPERATIVE OFFICE FOR CALL & FOREIGNERS GUIDANCE AT SULTANAH,Islamic Studies,2001,,72(Icon),210,Tamil,General,,THE CO-OPERATIVE OFFICE FOR CALL & FOREIGNERS GUIDANCE AT SULTANAH,"P.O.BOX 92675 RIYADH 11663 - AL-SWAIDI STR, K.S.A.",-NA-,,
85,THE ROAD TO PEACE & SALVATION,,MAULANA ABUL ALA MAUDUDI,Islamic Studies,2006,Ref,28,210,English / Arabic,General,,"MARKAZI MAKTABA ISLAMI PUBLISHERS,","D-307, ABUL FAZL ENCLAVE, JAMIA NAGAR,OKHLA, NEW DELHI - 110025",-NA-,8,
86,PITFALLS ON THE PATH OF ISLAMIC MOVEMENT,,Islamic Studies,Islamic Studies,1982,Ref,34(Icon),210,Arabic / Tamil,General,,IDARA-E-TAHQEEQ-O-TASNEEF-E-ISLAMI,"PAN WALI KOTHI, DODH PUR ROAD. ALIGARH - 202001.",-NA-,4,
87,WHAT MUST BE KNOWN ABOUT ISLAM,,ASSHAIK MUHAMMAD IBNU ALI ALARFAJ,Islamic Studies,2005,,312(Icon),243,English / Arabic,C,,"DARUL HUDA, (QUALITY ISLAMIC BOOK PUBLISHERS)","211/102, LINGHI STREET, I FLOOR, MANNADY, CHENNAI - 600001. INDIA",-NA-,80,
88,IGNITED MINDS - Unleashing the power within India,,A.P.J. ABDUL KALAM,Motivational / Self Development,2002,,xviii+206,910.9,English,General,9780143029823,"PENGUIN BOOKS INDIA PVT. LTD.,","11, COMMUNITY CENTRE, PANCHSHEEL PARK, NEW DELHI - 110017, INDIA",-NA-,199,
